cus_id,cus_num,cus_last_name,cus_first_name,cus_add_num,cus_address,cus_city,cus_state,cus_zip,cus_phone,cus_join_date,cus_app_cd,cus_app_num,tot_ord_qty,tot_ord_value
38,Jac95367,Jackson,Harper,75149,Merry Key, Laffertys Trailer Court,15,13347,8759798525,2005-09-07,4,OPC78076579,9,11960
39,She86757,Sherman,Mads,36877,Sunny Glade, Laffertys Trailer Court,6,29830,9772062009,2016-11-22,7,OPC79497425,66,11585
40,Dic91621,Dickerson,Thomas,87830, Merry Forest Crossing, Hallockville,30,1987,4870812999,2001-04-25,6,OPC78330659,24,29893
41,Rob34823,Robinson,Albert,78565, Lazy Key, Fulmor,11,54812,1951557552,2009-06-05,6,OPC87755445,12,35560
42,Mac38815,MacBain,Eric,74110,Dusty Nectar Downs, Youngstown,18,9634,3560967852,2017-07-06,5,OPC85316550,73,28515
43,Rio16129,Riochardson,Kenadi,4665,Main, Ten Mile,15,72146,2945999508,2010-06-10,3,OPC78785039,98,11256
44,Jor13966,Jordan,Samuel,45378,High Ledge, Howe,22,45654,4611502510,2005-06-25,7,OPC78074061,15,27342
45,Arc84210,Archibald,Brandon,53078, Quiet Brook Cape, Montello,13,13835,5967452442,2012-05-18,7,OPC84632214,76,7746
46,Dic5557,Dickerson,Brandt,584,Burning Rabbit Bank, Deardorffs Mill,22,75582,4349249204,2018-02-19,4,OPC80000691,9,16662
47,Man43173,Manchester,Brandon,98156, Burning Bank, Wolfs Mill,20,15441,4728982799,2018-12-14,1,OPC82823937,43,34586
48,Boo14171,Booker,Thomas,18932,Adams, Mcarthur Estates,21,41046,9931204790,2010-11-23,2,OPC83804365,7,13092
49,Wil87993,Willis,Margo,24326,Sleepy Fox Jetty, Wolfs Mill,28,20356,4588841863,2006-01-17,6,OPC79160879,55,24792
50,Gar33576,Garcia,Piper,24887,Maple, Arispe,22,85527,3819248154,2007-08-12,2,OPC86039163,22,6938
51,Wil24947,Willis,Eric,96749,Carbon Hill-Buchtel, La Junta,27,92534,6935329785,2007-08-15,4,OPC82699312,11,27024
52,Con69382,Connery,Brandt,23976, Broad Close, Bradburys,22,22938,1401536219,2010-12-19,3,OPC82002349,78,3610
53,Daw31394,Dawson,Alister,50702, Honey Zephyr Nook, Meadowbrook Valley,1,33449,9260584307,2001-05-24,3,OPC79843236,56,1673
54,Del95190,Deleon,Adam,44120, Cotton Elk Path, Bayless,13,52264,2988479688,2006-09-25,5,OPC86848340,26,15177
55,Jam82237,Jamieson,Brian,72666,Thunder Deer Island, Meadowbrook Valley,8,19547,6495144035,2011-11-05,3,OPC85358125,54,32575
56,Gar61961,Garth,Corey,19251, Dewy Campus, Siddon,10,63797,5498831038,2009-04-05,4,OPC84558372,21,31237
57,Row29210,Rowley,Timothy,19770, Crystal Spring Corners, Ten Mile,22,41941,5240395745,2007-08-19,4,OPC81674054,71,34904
58,Ban16660,Bangeson,Moritz,25690, Gentle Quail Quay, Richmond,9,23955,1701781431,2008-03-29,4,OPC80635392,92,9206
59,Jon6105,Jones,Timothy,47574, Blue Stead, Arispe,11,2819,4535435065,2002-04-05,2,OPC83976884,88,12456
60,Fre81746,French,Summer,67843, Little Gate Plaza, Ten Mile,19,10185,4707098667,2015-05-28,5,OPC79030872,11,13415
61,Ell40792,Ellis,Mindy,98042, Little Gate Plaza, Bradburys,24,64066,3214702673,2001-01-14,3,OPC83532493,85,15895
62,Del64015,Deleon,Mike,5132, Jagged Horse Extension, Howe,20,58500,3753728142,2013-01-02,1,OPC79105019,55,8770
63,She80267,Shelton,Leah,34583, Little Gate Plaza, Crystal Lake,3,13459,2200479911,2013-03-29,3,OPC86920548,66,10363
64,Ell32557,Ellis,Robert,6887, Old Cloud Orchard, Union Hill,16,41466,7837201175,2013-01-31,4,OPC83638428,46,26844
65,Smi96277,Smith-Warren,Summer,31370,Stony Island Park, Montello,11,33301,1229019139,2003-12-10,7,OPC81827796,65,34927
66,Man33420,Manchester,Airn,28014,Misty Brook Farms, Winkelman,22,82456,782373493,2019-09-14,2,OPC83328241,29,18443
67,Har45601,Harper,Robert,78560,Bright Forest End, Montello,25,3547,477163180,2015-11-04,3,OPC82804018,44,2397
68,Man25568,Manning,Mindy,10015,Blackhawk, Hitt,3,3922,2332510155,2015-12-30,7,OPC78826825,48,10850
69,Etz8222,Etzler,Summer,79378,Little River Square, Hallockville,11,28548,9643253935,2002-03-30,6,OPC83505793,54,18814
70,San90979,Sanchez,Harper,86666, Fallen Prairie Corner, Klagetoh,26,21104,590086539,2017-06-07,3,OPC79166917,46,24331
71,Mac98769,MacBain,Mike,38510, Colonial Panda Pike, Youngstown,12,92093,2741417189,2012-10-08,2,OPC85532501,40,29269
72,Ric2030,Rice,Manuel,87416,Old Pond Lookout, Wolfs Mill,3,16791,9435060683,2006-10-04,6,OPC79510116,88,34148
73,Gar76557,Garcia,Valerie,17563,Pine Grove, Kwikpak,22,17542,3883680983,2007-03-04,2,OPC83672728,85,3769
74,Del33708,Deleon,Blain,90921,Lost Path, Holiday Park,11,69402,5760265940,2007-10-23,1,OPC81087635,89,19769
75,Jon11156,Jones,Leah,43696,Bright Forest End, Union Beach,20,7875,3079410919,2015-11-10,6,OPC82951073,41,18703
76,Sla44221,Slain,Mike,71978, Harvest Court, Youngstown,27,90025,3338022260,2005-10-03,3,OPC84711517,82,15372
77,Rio53643,Riochardson,Farris,41675, Fallen Prairie Corner, Clintondale,24,94032,9430254160,2001-04-20,1,OPC87680065,31,9710
78,Aco47525,Acosta,Harper,3470,Honey Creek Autoroute, Walnut Hill,10,93702,2192023049,2018-06-05,4,OPC83723759,2,16248
79,Rob93864,Roberts,George,93363,Sunny Glade, Union Beach,17,90518,1775400489,2003-04-09,5,OPC87449398,28,33987
80,Jon14278,Jones,Maggs,8375,Little River Square, Arispe,23,21418,7665049661,2010-08-11,6,OPC80703030,79,29936
81,Smi6032,Smith-Warren,Brandt,92708, Tawny Lane, Fulmor,14,13282,828654198,2019-11-01,2,OPC84626099,17,32534
82,Arc45248,Archibald,Moritz,65127,Thunder Deer Island, Bissell,7,63809,1975652495,2014-07-05,4,OPC79734636,26,13809
83,Tan62429,Tankersly,Robert,36502, Golden Glade, Ditchley,14,5384,2822100654,2014-03-26,5,OPC80773219,29,7916
84,Mon75466,Monk,Jonathon,24061,Blackhawk, La Junta,23,17128,9520521694,2006-02-18,5,OPC85770164,47,8794
85,Ste29641,Stevens,Piper,43607,Pleasant Loop, Deardorffs Mill,21,7599,9054903446,2011-11-22,7,OPC87861500,55,15942
86,Etz79997,Etzler,Thomas,32428,High Ledge, Laffertys Trailer Court,15,16937,4159407137,2006-12-29,4,OPC85727720,59,570
87,Con45244,Conley,Mindy,44729,Seaman, Mcarthur Estates,3,96277,6491793872,2003-04-02,5,OPC87774769,21,10108
88,Smi4400,Smith,Tristan,57191,Indian Trail, Comite,16,90398,3798129720,2010-10-10,2,OPC87349454,27,11050
89,Har46059,Hart,Brandon,46321, Tawny Lane, Fulmor,25,85386,5927067898,2011-10-03,7,OPC78636828,51,558
90,Pre57644,Presten,Chris,51050,Grey, North Star,1,7837,3887521301,2019-08-12,5,OPC83895197,8,31682
91,Del68915,Delacruz,Adam,79259, Stony Wharf, Ditchley,14,18090,4609970409,2006-04-15,6,OPC81930579,53,3901
92,Ban33324,Banks,Timothy,97041,Honey Creek Autoroute, Ten Mile,5,32742,5862780631,2010-11-12,5,OPC87972427,35,17503
93,Joh24895,Johnasen,Adam,91209, Heather Robin Mews, Longview Heights,21,86870,9600282669,2017-04-26,7,OPC85807101,96,28024
94,Bar40564,Barrister,George,64635,Gentle Log Grove, Comite,18,49494,4642989185,2013-02-06,7,OPC79995360,25,20770
95,Man10431,Manchester,Jasmine,34914, Dusty Fox Road, Youngstown,28,86558,683750639,2019-01-17,3,OPC86364633,75,7223
96,Man22922,Manning,Kristoff,77544,East Garrison, Ditchley,14,35416,2543259359,2017-08-19,3,OPC84702077,25,9650
97,Moo13692,Moore,Farris,6887,Crystal Cove, Arispe,20,88327,3928057265,2009-02-22,1,OPC78224691,43,27060
98,Fre27184,French,Leah,28782,Grand Crest, Klagetoh,17,18916,9017761327,2015-12-12,3,OPC81085732,34,19868
99,Man17374,Manning,Mike,37664, Middle Via, Crystal Lake,18,73222,4172094985,2009-01-12,1,OPC87690907,8,2308
100,Pre70473,Presten,Corey,18784,Beckley, Casa De Piedra,29,91680,6647120941,2009-08-19,2,OPC86600135,82,21106
101,Daw59995,Dawson,Albert,11095,Carbon Hill-Buchtel, North Brewster,3,20497,6894918271,2001-10-14,4,OPC86726198,7,12594
102,Gar63403,Garth,Albert,69654,Grey, Sandusky Mobile Home Villa,14,24434,1215610372,2002-05-21,2,OPC82475825,72,11310
103,Tho38215,Thomason,Alister,46930,Iron Pony Pathway, Clintondale,24,23745,5433976595,2003-02-14,3,OPC81241806,11,23441
104,Del6110,Delacruz,Corey,87373, Iron Bluff Rise, Richmond,8,55774,2330764445,2016-04-27,1,OPC87279731,82,13315
105,Jon87528,Jones,Valerie,22537, Sleepy Mall , Bradburys,2,7666,393056680,2013-06-13,6,OPC80476958,2,20178
106,Con92808,Connery,Sarah,47214, Gentle Quail Quay, Kwikpak,9,93750,4715246722,2005-08-04,1,OPC79480380,33,9251
107,San34067,Sanchez,Leah,30736, Lost Sky Dell, Brownsburg,19,25347,2240642339,2009-10-26,7,OPC87843902,44,17210
108,Mac96669,MacBain,George,39256,Broad Hills Abbey, Montello,12,82989,9935688555,2005-10-30,2,OPC80374358,2,15943
109,Jon98716,Jones,Thomas,22839, Golden Glade, Mcarthur Estates,25,37630,5733042501,2018-08-25,4,OPC82810126,45,1606
110,Moo34648,Moore,Samuel,17513,Noble Carrefour, Casa De Piedra,27,17420,2279155596,2018-08-23,1,OPC78267425,44,5173
111,Rey38831,Reynolds,George,9392,Adams, Fulmor,16,76855,114713787,2019-05-03,1,OPC87061937,33,18231
112,Tho32710,Thomason,Joshua,76118,Ash, Meadowbrook Valley,10,24264,123756699,2009-12-11,1,OPC87417091,39,14437
113,Wil63121,Williamson,Nadine,31145, Cozy Pines, Youngstown,10,35776,8023534765,2001-12-19,3,OPC85923682,34,12083
114,Fre86519,French,Brian,34997,Pine Grove, Holiday Park,15,14764,7241412135,2018-07-30,2,OPC82239895,21,26459
115,Dic1930,Dickerson,Piper,28390, Blue Stead, Longview Heights,30,71988,3503428531,2012-02-23,7,OPC85234797,26,14823
116,Jon57319,Jones,Brice,69177,Strom, Kidville,30,82771,3934518771,2009-03-20,6,OPC82332174,97,13773
117,Aar16852,Aaronson,Harper,88940, Dusty Fox Road, La Junta,9,17673,6559881015,2011-02-15,6,OPC82122402,25,8326
118,Moo9476,Moore,Joshua,39275, Stony Wharf, Ditchley,15,93972,9515246720,2001-04-24,3,OPC87576001,13,5115
119,Con38175,Conley,Samuel,27993, Bright Common, Bayless,17,14398,8752695069,2007-06-27,7,OPC79307869,74,8086
120,Fre53754,French,Cooper,95783,Grey, Howe,10,32484,7506164921,2005-03-04,4,OPC78683735,91,14669
121,Smi30807,Smith,Brian,70050,Indian Trail, Crystal Lake,7,47488,255335851,2007-06-22,6,OPC83363254,87,12974
122,Wil54986,Willis,Corey,35436, Broad Close, Comite,6,57645,2840072417,2014-10-13,3,OPC78674700,96,3617
123,Con45074,Conley,Brice,63607,Tawny Vista, Bradburys,1,85567,9497173023,2003-11-30,6,OPC87715869,15,10073
124,Del15315,Deleon,George,90898,Emerald Quail Passage, Winkelman,16,74236,9816729196,2018-08-16,1,OPC83724187,4,29428
125,Rob50981,Robinson,Harper,37309,Honey Creek Autoroute, Mcarthur Estates,3,30370,8058268295,2011-12-06,7,OPC86238373,99,11418
126,Wil30699,Williamson,Cooper,69188,Merry Key, Bissell,28,14230,5118955611,2004-09-06,6,OPC81982327,42,7706
127,Con65117,Connery,Valerie,32710, Grand Pony Park, Mcarthur Estates,29,65102,1807079474,2002-10-10,4,OPC85836135,2,19856
128,Coo76827,Cooper,Abigail,38495,Misty Brook Farms, East Village,23,77331,5471728393,2012-11-06,6,OPC82889903,50,13877
129,Jon26782,Jones,Chris,22734,Wishing Manor, Montello,19,41447,1416365097,2013-09-16,1,OPC78172672,50,14284
130,Moo250,Moore,Piper,59772, High Apple Falls, Langley,15,30805,2980381583,2015-11-24,4,OPC83969682,27,17070
131,Ric29308,Rice,Summer,77388, Jagged Horse Extension, Casa De Piedra,3,53936,7908151134,2019-10-23,5,OPC86918020,31,5287
132,Goo94926,Goode,Manuel,79606,Old Pond Lookout, Meadowbrook Valley,9,66044,6326229446,2002-05-10,4,OPC84987063,45,9105
133,Tho64882,Thomason,Joshua,84436,Ash, Ditchley,10,23760,3922065509,2017-06-14,7,OPC83392465,33,27804
134,Jon91585,Jones,Manuel,25483, Dewy Campus, Ten Mile,25,80571,8159678512,2001-04-26,4,OPC85622129,69,24026
135,Del12875,Deleon,Timothy,86930,Maple, Longview Heights,10,30527,6221155082,2007-07-18,5,OPC86159228,41,19461
136,Jac45018,Jackson,Cooper,59723,Grant, Winkelman,27,15077,2588437786,2002-11-07,6,OPC79210755,33,8245
137,Con74945,Connery,Farris,19404, Honey Zephyr Nook, Oak Knoll,27,44780,8730945026,2016-04-10,2,OPC86412441,81,5051
138,Ram47561,Ramirez,George,89279, Velvet End, Fomer,3,39476,1610375205,2006-02-18,6,OPC84715932,1,35181
139,Say64838,Saylor,Blain,4422, Misty Lagoon Bay, Holiday Park,16,49354,9570601336,2001-12-12,7,OPC79660614,77,28825
140,Mon42846,Monk,Tristan,41957, Bright Common, Cowan,23,81073,8532438512,2009-05-16,1,OPC82191044,12,13155
141,Har82483,Hart,Manuel,23410,East Garrison, Vega Park,7,48233,4752702363,2018-11-10,7,OPC82572779,89,26417
142,Bro38965,Brooks,Joshua,26085,Burning Rabbit Bank, Tiptop,30,10771,9922838061,2010-09-03,1,OPC87181124,82,24804
143,She88128,Sherman,Adam,56930,Misty Brook Farms, Fomer,5,63355,1299242310,2011-12-24,5,OPC85419487,40,10235
144,Man75955,Manning,Maggs,51478,Fallen Berry Moor, Howe,2,95214,1857975379,2014-07-17,1,OPC85337893,66,27417
145,Del96032,Delapena,Brandon,27470, Shady Row, North Star,10,35318,3761680160,2018-05-20,3,OPC82123834,86,12596
146,She48682,Shelton,Sarah,73705, Silver Dale Jetty, Arispe,15,44110,2734577946,2009-05-27,7,OPC87074664,21,15048
147,Aco37667,Acosta,George,49259,Seaman, Jessie,21,64286,8668924124,2011-12-14,4,OPC87046268,81,35048
148,App22874,Applewood,Harper,43980,Rimer, Jessie,30,45896,955642338,2007-11-03,6,OPC78270600,78,34335
149,Del95362,Deleon,Reginald,76120, Foggy Hill, Kwikpak,4,91420,691787201,2016-10-06,1,OPC87996933,47,31212
150,Con67022,Conley,Richard,48628,Indian Trail, Youngstown,24,4216,5086599221,2002-09-26,5,OPC78968808,92,13654
151,She64354,Sherman,Adam,56075,Emerald Quail Passage, New York,29,93580,8729271191,2011-11-07,5,OPC84395261,18,30565
152,Del35305,Delacruz,Brandt,59368,Hazy Road, Winthrop Beach,14,49664,7141555986,2006-04-05,3,OPC83506330,24,318
153,Rio78986,Riochardson,Alister,69125,Blue Terrace, New York,26,60420,9447504411,2007-01-24,6,OPC80616701,56,10366
154,Har54708,Harper,Eric,59156,Quiet Circuit, Bissell,5,1068,863723729,2012-10-23,7,OPC88041167,33,5066
155,Coo99469,Cooper,Blain,74871,Indian Trail, Tiptop,29,76946,7687692423,2018-05-09,4,OPC78328282,23,34755
156,Sla86475,Slain,Moritz,84600, Tawny Lane, Vega Park,29,42733,2971098815,2013-11-24,7,OPC85817104,99,21794
157,Man14064,Manchester,Summer,55754,Jagged Branch Mews, Arispe,15,77579,2381669962,2014-04-27,3,OPC82709704,53,34614
158,Rob46222,Robinson,Brandt,17135,Gentle Log Grove, Union Beach,6,40601,2404607036,2010-07-14,3,OPC78758562,27,28152
159,Rey30883,Reynolds,Timothy,89692,Merry Key, Crystal Lake,4,6274,7116855886,2001-12-21,2,OPC79077234,44,6080
160,Dew53452,Dewey,Taylor,48444,Beckley, Youngstown,15,85971,4802927944,2016-11-27,1,OPC78747088,63,2032
161,Bro66756,Brooks,Blain,51335, Bright Common, Klagetoh,14,75681,7952120992,2008-02-16,3,OPC86258846,30,30023
162,Wil55614,Willis,Jonathon,30774,Clear Heath, New York,7,18616,9009154588,2013-05-22,7,OPC87981681,41,13450
163,Smi93286,Smith,Eric,94328,Madison, North Brewster,6,15415,1422574358,2009-01-06,7,OPC81491962,86,26801
164,Jon50468,Jones,Zachary,45779,Hazy Road, North Star,12,30096,9550777245,2018-05-02,3,OPC82245585,21,9702
165,Wil75375,Williamson,Mindy,10901, Clear Beacon Hollow, Arispe,15,69639,1822511151,2005-02-07,5,OPC84662132,69,9598
166,Cal69392,Calahan,Brice,43858, Foggy Hill, Laffertys Trailer Court,10,91575,9537280638,2007-11-07,6,OPC78567961,92,7031
167,Ell98811,Ellis,Airn,8805, Hazy Willow Grove, Comite,7,46292,5799503167,2001-05-20,3,OPC83362589,82,24334
168,Sla13738,Slain,Brandon,59749,Madison, Vega Park,4,27873,1657029700,2007-08-12,2,OPC82780019,16,6557
169,Coo7475,Cooper,Joshua,22514, Cozy Pines, Fulmor,17,97185,6584839822,2013-10-23,3,OPC79303433,47,13034
170,Jac58501,Jackson,Manuel,45096, Pleasant Beach, East Village,3,56224,9849537807,2005-12-01,2,OPC84383712,60,31717
171,Rio18885,Riochardson,Brice,65934, Colonial Panda Pike, Casa De Piedra,4,12401,5397739288,2016-12-16,7,OPC80157042,24,13124
172,Etz11274,Etzler,Thomas,41245, Umber Shadow Ledge, New York,1,20235,6564445833,2011-02-18,3,OPC78743346,66,9536
173,Pet58971,Peters,Sarah,14391,Grand Crest, Norton Shores,15,40007,5635041156,2005-07-20,3,OPC78563416,42,95
174,Con81378,Conley,Tristan,2928, Heather Robin Mews, Crystal Lake,3,91125,1344865710,2011-02-27,4,OPC82101995,12,14974
175,Sla37097,Slain,Airn,67265,Dewy Beacon By-pass, Brownsburg,1,21915,4125991652,2007-01-13,2,OPC86236953,49,27100
176,Tom51065,Tompsen,Corey,34619, Velvet End, Vega Park,17,62511,504087480,2003-03-08,4,OPC84588425,65,3894
177,Rid61435,Ridgley,Brandt,21352, Middle Via, New York,17,98965,1825963684,2002-09-29,5,OPC82628736,57,13259
178,Wil92176,Williamson,Albert,96386, Velvet End, Hitt,15,49694,4791304747,2007-12-06,5,OPC82590333,83,17333
179,Say82002,Saylor,Thomas,25162, Green Berry Run, Hallockville,8,23840,5691052401,2007-01-01,7,OPC86886993,2,7034
180,Goo66741,Goode,Nadine,16151, Wishing Goose Townline, New Stuyarok,9,56055,274863351,2017-07-26,1,OPC81566426,67,30686
181,Joh14374,Johnasen,Eric,87218, Velvet End, Fulmor,13,57448,1679350851,2014-03-14,3,OPC82041068,3,5439
182,Mac68244,MacBain,Albert,34867,Carbon Hill-Buchtel, Green Acres,21,22182,2726005585,2003-05-16,2,OPC79193268,48,9064
183,Smi84773,Smith,Jonathon,13292, Silver Dale Jetty, Clintondale,9,3305,981096754,2018-08-10,7,OPC80448799,99,23968
184,Rid22496,Ridgley,Erin,4411, Pleasant Beach, Arispe,12,40419,9630806844,2001-10-29,1,OPC87906490,68,5073
185,Rey31892,Reynolds,Samuel,65458,Grey, Arispe,6,79312,6486359929,2018-11-18,6,OPC85914954,26,25467
186,Jon85527,Jones,Miguel,32614,Carbon Hill-Buchtel, Cowan,19,53616,3628570547,2003-09-21,3,OPC79181631,82,23223
187,Jor1228,Jordan,Erin,57477, Merry Forest Crossing, Fulmor,29,57668,8562888268,2007-10-21,3,OPC86281955,93,3198
188,Dic66189,Dickerson,Brice,22412,Bright Forest End, Brownsburg,16,34157,5409164961,2012-07-06,7,OPC87970581,32,10954
189,Say81419,Saylor,Sarah,67247,Washington, Winkelman,17,90226,487047314,2013-09-17,5,OPC85201414,76,12859
190,Jon71217,Jones,Abigail,81284, Gentle Quail Quay, Winkelman,28,78366,9365767710,2001-02-28,1,OPC81247024,27,12703
191,Del7001,Delacruz,Valerie,34091, Jagged Horse Extension, La Junta,17,38427,5527481722,2007-02-08,4,OPC83128297,97,8056
192,Bro4862,Brooks,Tristan,86443, Iron Bluff Rise, Casa De Piedra,21,38305,7222673721,2007-03-09,5,OPC86602495,20,28369
193,Ell15504,Ellis,Moritz,69022,Thunder Deer Island, Union Beach,29,34172,5048304497,2018-01-16,2,OPC81745709,67,19170
194,Goo41564,Goode,Adam,54520,Main, Crystal Lake,22,23357,1988085922,2012-11-01,3,OPC87621522,2,2925
195,Man93269,Manchester,Noel,16359,Lost Path, Casa De Piedra,2,54203,9022277033,2003-09-03,7,OPC87335608,8,23181
196,Sei80454,Seiler,Miguel,3518, Umber Shadow Ledge, Union Hill,10,73693,2364600193,2017-09-16,3,OPC79346679,16,20968
197,Say44896,Saylor,Harper,71908, Dewy Campus, Mcarthur Estates,17,71938,4571562718,2013-03-09,6,OPC78551696,88,25040
